group,phrase,head_word,mechanism,diff_pull,phrase_pull,head_pull,pull_amplification,diff_target_sim,diff_neutral_sim
candidate,Netflix and chill,Netflix,metonymic: activity sequence → sex,0.18610589451221216,0.13518056948519502,-0.03458295440041517,0.1697635238856102,0.11478615372356395,-0.07131974078864822
candidate,come up for coffee,coffee,metonymic: invitation sequence → sex,0.0989133638562427,0.03279979134059624,-0.06335501223384693,0.09615480357444317,-0.08209174405854823,-0.18100510791479094
candidate,spend the night,night,metonymic: temporal frame → sex,0.10564380576100019,0.08906821179159857,-0.019722597420481935,0.10879080921208051,-0.008639679698939822,-0.11428348545994
candidate,go back to my place,place,metonymic: location move → sex,0.16382652843423523,0.0574515816782058,-0.1288378580812527,0.1862894397594585,-0.00919426107082409,-0.1730207895050593
candidate,see my etchings,etchings,metonymic: classic invitation → sex,0.014992148509344737,-0.01310371414446937,-0.025228106061083444,0.012124391916614075,-0.057332104395333254,-0.07232425290467799
candidate,sleep together,sleep,metonymic: bed-sharing → sex,0.17686194214835108,0.19789797256518388,0.0203095097516226,0.17758846281356128,0.10303019729592326,-0.07383174485242781
candidate,hook up,hook,metonymic: connection → sex,0.01988690757603482,0.052468733470363293,0.033748530385519726,0.018720203084843567,0.06479752709871427,0.04491061952267945
candidate,get lucky,lucky,metonymic: fortune → sex,0.07349684680702147,0.06846525861168251,0.014787855641525571,0.05367740297015694,-0.029042761416379514,-0.10253960822340098
control,watch a movie and relax,movie,literal: entertainment,0.10690409574899953,0.07539010144586261,-0.039496673476716704,0.11488677492257932,-0.06771833439032601,-0.17462243013932555
control,come up for breakfast,breakfast,literal: morning meal,0.09962890460221697,0.03301166723754839,-0.05235273087041087,0.08536439810795926,-0.08191581145687711,-0.18154471605909409
control,spend the day,day,literal: time use,0.07095041893150762,0.011120070074959298,-0.06052406258093479,0.07164413265589409,-0.06263206458944552,-0.13358248352095314
control,go back to my desk,desk,literal: return to work,0.041890085978815744,-0.08580656183829258,-0.12893322331634283,0.04312666147805025,-0.08656434771959443,-0.12845443369841017
control,see my photos,photos,literal: viewing images,0.07733076409082731,-0.021335351008745618,-0.09496994107007661,0.073634590061331,-0.0795402819387763,-0.1568710460296036
control,rest peacefully,rest,literal: relaxation,0.09373840711259421,0.061975450971848534,-0.02781729527551302,0.08979274624736155,-0.015572193386997382,-0.10931060049959158
control,hook up the printer,hook,literal: connect device,-0.024995586603557995,0.005056029538748424,0.033748530385519726,-0.0286925008467713,-0.12520833826738637,-0.10021275166382837
control,get lucky at poker,lucky,literal: gambling fortune,0.039701458666733136,0.050477128142495664,0.014787855641525571,0.03568927250097009,-0.1521251698268736,-0.19182662849360674
