group,phrase,head_word,mechanism,diff_pull,phrase_pull,head_pull,pull_amplification,diff_target_sim,diff_neutral_sim
candidate,一杯やる,一杯,metonymic: 一杯で飲酒全体を指示,0.08836653491177322,0.1551489477836791,0.08833300393594984,0.06681594384772926,0.020430477209197846,-0.06793605770257538
candidate,飲みに行く,飲み,metonymic: 飲む行為 → 飲み会全体,-0.04135121172926619,0.24308213581434862,0.2737336607259358,-0.03065152491158718,-0.13814578203746408,-0.0967945703081979
candidate,ちょっと付き合って,付き合い,metonymic: 同行要請 → 飲酒誘い,0.09370966044680475,0.04511190291151068,-0.03617922205593721,0.08129112496744789,-0.07950371866360888,-0.17321337911041362
candidate,二軒目行こう,二軒目,metonymic: 次の店 → 飲み続行,0.010287223098066442,-0.02056351563908493,-0.026841648766920856,0.006278133127835928,-0.09127976982193439,-0.10156699292000083
candidate,もう一杯だけ,一杯,metonymic: 追加の一杯 → まだ終わらない,0.08579476676901146,0.16919076623541346,0.08823229406493821,0.08095847217047525,-0.04993476578006841,-0.13572953254907988
candidate,乾杯しよう,乾杯,metonymic: 開始の儀礼 → 飲み会,0.11114928860622786,0.19936180385517271,0.1417012626766383,0.05766054117853442,0.010233095532337,-0.10091619307389085
control,一杯のコーヒー,一杯,literal: 一杯の飲料,-0.00601068902077273,0.08296449887849366,0.08823229406493821,-0.005267795186444546,-0.15571598497320985,-0.14970529595243712
control,食べに行く,食べ,literal: 食事,0.0055808836876288515,0.03279587392307515,0.02803568259392647,0.0047601913291486775,-0.06944191679325072,-0.07502280048087957
control,ちょっと手伝って,手伝い,literal: 手助け要請,0.059335539075679775,-0.06031466449398784,-0.10725561607494916,0.046940951580961315,-0.06861580928688522,-0.127951348362565
control,二階に行こう,二階,literal: 場所移動,0.07452221618455392,-0.05141570132543133,-0.10341601512070009,0.05200031379526876,-0.09068339520948619,-0.1652056113940401
control,もう一回だけ,一回,literal: 繰り返し,0.05109100457202592,0.019532622486702844,-0.02680072216692314,0.046333344653625985,-0.08188090068139386,-0.1329719052534198
control,出発しよう,出発,literal: 行動開始,0.06130710766722809,-0.04948976037297592,-0.08584988488671225,0.036360124513736325,-0.08401499037728176,-0.14532209804450985
